!!SBtab DocumentName=' TableType='Reaction' TableName=' Document=' Unit=' SBtabVersion='1.0' Date='2018-10-17' pH='8.5' ionic_strength='0.1' pMg='14.0'
!Identifiers:kegg.reaction	!dG'0 (kJ/mol):Mean	!dG'0 (kJ/mol):Std	!pH	!ionic strength (M)	!temperature (K)	!Comment
R00002	-865.2	47.4	8.5	0.1	298.15	
R00004	-16.6	0.4	8.5	0.1	298.15	
R00005	-54.6	15.1	8.5	0.1	298.15	
R00006	23.7	7.4	8.5	0.1	298.15	
R00008	16.3	4.6	8.5	0.1	298.15	
R00009	-193.1	13.3	8.5	0.1	298.15	
R00010	-11.7	2.1	8.5	0.1	298.15	
R00011	nan	nan	8.5	0.1	298.15	uncertainty is too high
R00012	nan	nan	8.5	0.1	298.15	uncertainty is too high
R00013	-11.1	8.8	8.5	0.1	298.15	
R00014	-20.9	6.8	8.5	0.1	298.15	
R00015	-6.1	10.7	8.5	0.1	298.15	
R00016	-1.4	5.2	8.5	0.1	298.15	
R00017	nan	nan	8.5	0.1	298.15	uncertainty is too high
R00018	-1.6	8.0	8.5	0.1	298.15	
R00019	35.1	13.0	8.5	0.1	298.15	
R00021	49.6	11.8	8.5	0.1	298.15	
R00022	-13.7	10.8	8.5	0.1	298.15	
R00023	nan	nan	8.5	0.1	298.15	uncertainty is too high
R00024	-45.3	7.5	8.5	0.1	298.15	
R00025	nan	nan	8.5	0.1	298.15	uncertainty is too high
R00026	-12.9	3.7	8.5	0.1	298.15	
R00027	7.8	10.2	8.5	0.1	298.15	
R00028	-14.6	3.1	8.5	0.1	298.15	
R00029	nan	nan	8.5	0.1	298.15	uncertainty is too high
R00031	-519.8	19.4	8.5	0.1	298.15	
R00032	-364.5	45.1	8.5	0.1	298.15	
R00033	-110.6	8.4	8.5	0.1	298.15	
R00034	nan	nan	8.5	0.1	298.15	uncertainty is too high
R00036	-110.0	7.9	8.5	0.1	298.15	
R00038	-10.0	2.3	8.5	0.1	298.15	
R00039	1.0	13.3	8.5	0.1	298.15	
R00041	nan	nan	8.5	0.1	298.15	uncertainty is too high
R00042	-670.6	22.1	8.5	0.1	298.15	
R00043	-378.0	6.5	8.5	0.1	298.15	
R00044	-478.2	9.0	8.5	0.1	298.15	
R00045	-381.3	24.0	8.5	0.1	298.15	
R00047	nan	nan	8.5	0.1	298.15	uncertainty is too high
R00048	-57.9	9.7	8.5	0.1	298.15	
R00049	-8.9	2.9	8.5	0.1	298.15	
R00052	nan	nan	8.5	0.1	298.15	uncertainty is too high
R00053	-61.8	6.1	8.5	0.1	298.15	
R00054	-63.6	6.1	8.5	0.1	298.15	
R00055	-424.0	14.3	8.5	0.1	298.15	
R00056	nan	nan	8.5	0.1	298.15	uncertainty is too high
R00057	nan	nan	8.5	0.1	298.15	uncertainty is too high
R00058	-269.5	33.9	8.5	0.1	298.15	
R00059	2.0	3.3	8.5	0.1	298.15	
R00060	nan	nan	8.5	0.1	298.15	uncertainty is too high
R00061	nan	nan	8.5	0.1	298.15	uncertainty is too high
R00062	0.0	0.0	8.5	0.1	298.15	
R00063	-6.6	27.8	8.5	0.1	298.15	
R00066	-154.2	44.1	8.5	0.1	298.15	
R00067	115.8	5.8	8.5	0.1	298.15	
R00068	nan	nan	8.5	0.1	298.15	uncertainty is too high
R00069	161.3	12.9	8.5	0.1	298.15	
R00070	-654.4	43.9	8.5	0.1	298.15	
R00072	-177.4	8.5	8.5	0.1	298.15	
R00073	nan	nan	8.5	0.1	298.15	uncertainty is too high
R00074	nan	nan	8.5	0.1	298.15	uncertainty is too high
R00075	nan	nan	8.5	0.1	298.15	uncertainty is too high
R00076	nan	nan	8.5	0.1	298.15	uncertainty is too high
R00077	nan	nan	8.5	0.1	298.15	uncertainty is too high
R00078	-12.7	33.5	8.5	0.1	298.15	
R00080	nan	nan	8.5	0.1	298.15	uncertainty is too high
R00081	nan	nan	8.5	0.1	298.15	uncertainty is too high
R00082	nan	nan	8.5	0.1	298.15	uncertainty is too high
R00083	nan	nan	8.5	0.1	298.15	uncertainty is too high
R00084	-126.3	16.2	8.5	0.1	298.15	
R00085	-66.6	1.2	8.5	0.1	298.15	
R00086	-33.9	0.6	8.5	0.1	298.15	
R00087	-50.0	1.1	8.5	0.1	298.15	
R00088	-50.1	7.0	8.5	0.1	298.15	
R00089	-0.1	2.0	8.5	0.1	298.15	
R00090	-317.9	6.4	8.5	0.1	298.15	
R00091	-13.8	29.7	8.5	0.1	298.15	
R00092	215.1	16.4	8.5	0.1	298.15	
R00093	41.5	1.8	8.5	0.1	298.15	
R00094	9.2	1.7	8.5	0.1	298.15	
R00095	nan	nan	8.5	0.1	298.15	uncertainty is too high
R00097	nan	nan	8.5	0.1	298.15	uncertainty is too high
R00099	nan	nan	8.5	0.1	298.15	uncertainty is too high
R00100	nan	nan	8.5	0.1	298.15	uncertainty is too high
R00101	nan	nan	8.5	0.1	298.15	uncertainty is too high
R00102	-50.1	8.7	8.5	0.1	298.15	
R00103	-52.4	5.9	8.5	0.1	298.15	
R00104	-20.0	5.8	8.5	0.1	298.15	
R00105	-19.0	5.8	8.5	0.1	298.15	
R00106	nan	nan	8.5	0.1	298.15	uncertainty is too high
R00107	nan	nan	8.5	0.1	298.15	uncertainty is too high
R00108	nan	nan	8.5	0.1	298.15	uncertainty is too high
R00109	nan	nan	8.5	0.1	298.15	uncertainty is too high
R00111	nan	nan	8.5	0.1	298.15	uncertainty is too high
R00112	-1.0	0.7	8.5	0.1	298.15	
R00113	-318.9	6.5	8.5	0.1	298.15	
R00114	42.5	1.9	8.5	0.1	298.15	
R00115	10.2	1.6	8.5	0.1	298.15	
R00118	-13.9	5.8	8.5	0.1	298.15	
R00119	-47.8	9.3	8.5	0.1	298.15	
