!!SBtab DocumentName=' TableType='Reaction' TableName=' Document=' Unit=' SBtabVersion='1.0' Date='2018-10-17' pH='7.0' ionic_strength='0.1' pMg='14.0'
!Identifiers:kegg.reaction	!dG'0 (kJ/mol):Mean	!dG'0 (kJ/mol):Std	!pH	!ionic strength (M)	!temperature (K)	!Comment
R00002	-745.3	47.4	7.0	0.1	298.15	
R00004	-15.8	0.4	7.0	0.1	298.15	
R00005	-78.5	15.1	7.0	0.1	298.15	
R00006	32.3	7.4	7.0	0.1	298.15	
R00008	16.3	4.6	7.0	0.1	298.15	
R00009	-193.1	13.3	7.0	0.1	298.15	
R00010	-11.7	2.1	7.0	0.1	298.15	
R00011	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00012	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00013	-19.6	8.8	7.0	0.1	298.15	
R00014	-29.5	6.8	7.0	0.1	298.15	
R00015	-6.1	10.7	7.0	0.1	298.15	
R00016	-1.2	5.2	7.0	0.1	298.15	
R00017	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00018	-0.9	8.0	7.0	0.1	298.15	
R00019	18.0	13.0	7.0	0.1	298.15	
R00021	66.0	11.8	7.0	0.1	298.15	
R00022	-13.8	10.8	7.0	0.1	298.15	
R00023	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00024	-28.4	7.5	7.0	0.1	298.15	
R00025	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00026	-12.9	3.7	7.0	0.1	298.15	
R00027	7.8	10.2	7.0	0.1	298.15	
R00028	-14.6	3.1	7.0	0.1	298.15	
R00029	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00031	-519.3	19.4	7.0	0.1	298.15	
R00032	-364.5	45.1	7.0	0.1	298.15	
R00033	-110.3	8.4	7.0	0.1	298.15	
R00034	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00036	-109.5	7.9	7.0	0.1	298.15	
R00038	-10.0	2.3	7.0	0.1	298.15	
R00039	1.0	13.3	7.0	0.1	298.15	
R00041	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00042	-670.7	22.1	7.0	0.1	298.15	
R00043	-368.5	6.5	7.0	0.1	298.15	
R00044	-478.6	9.0	7.0	0.1	298.15	
R00045	-381.6	24.0	7.0	0.1	298.15	
R00047	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00048	-49.3	9.7	7.0	0.1	298.15	
R00049	-8.2	2.9	7.0	0.1	298.15	
R00052	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00053	-56.8	6.1	7.0	0.1	298.15	
R00054	-57.1	6.1	7.0	0.1	298.15	
R00055	-424.0	14.3	7.0	0.1	298.15	
R00056	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00057	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00058	-270.5	33.9	7.0	0.1	298.15	
R00059	3.5	3.3	7.0	0.1	298.15	
R00060	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00061	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00062	0.0	0.0	7.0	0.1	298.15	
R00063	-6.5	27.8	7.0	0.1	298.15	
R00066	-162.7	44.1	7.0	0.1	298.15	
R00067	98.7	5.8	7.0	0.1	298.15	
R00068	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00069	161.3	12.9	7.0	0.1	298.15	
R00070	-671.0	43.9	7.0	0.1	298.15	
R00072	-169.0	8.5	7.0	0.1	298.15	
R00073	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00074	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00075	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00076	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00077	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00078	-46.9	33.5	7.0	0.1	298.15	
R00080	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00081	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00082	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00083	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00084	-128.7	16.2	7.0	0.1	298.15	
R00085	-50.2	1.2	7.0	0.1	298.15	
R00086	-26.4	0.6	7.0	0.1	298.15	
R00087	-34.4	1.1	7.0	0.1	298.15	
R00088	-57.8	7.0	7.0	0.1	298.15	
R00089	7.0	2.0	7.0	0.1	298.15	
R00090	-326.5	6.4	7.0	0.1	298.15	
R00091	-6.4	29.7	7.0	0.1	298.15	
R00092	206.5	16.4	7.0	0.1	298.15	
R00093	49.4	1.8	7.0	0.1	298.15	
R00094	16.4	1.7	7.0	0.1	298.15	
R00095	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00097	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00099	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00100	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00101	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00102	-35.0	8.7	7.0	0.1	298.15	
R00103	-36.0	5.9	7.0	0.1	298.15	
R00104	-11.8	5.8	7.0	0.1	298.15	
R00105	-10.8	5.8	7.0	0.1	298.15	
R00106	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00107	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00108	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00109	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00111	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00112	-1.0	0.7	7.0	0.1	298.15	
R00113	-327.5	6.5	7.0	0.1	298.15	
R00114	50.3	1.9	7.0	0.1	298.15	
R00115	17.4	1.6	7.0	0.1	298.15	
R00118	-14.6	5.8	7.0	0.1	298.15	
R00119	-32.6	9.3	7.0	0.1	298.15	
R00120	-117.0	8.4	7.0	0.1	298.15	
R00122	-23.8	0.6	7.0	0.1	298.15	
R00123	-61.5	7.6	7.0	0.1	298.15	
R00125	-35.8	18.3	7.0	0.1	298.15	
R00126	9.5	18.3	7.0	0.1	298.15	
R00127	-2.6	0.3	7.0	0.1	298.15	
R00128	-32.4	5.8	7.0	0.1	298.15	
R00129	-55.2	13.5	7.0	0.1	298.15	
R00130	3.7	5.8	7.0	0.1	298.15	
R00131	-29.9	9.0	7.0	0.1	298.15	
R00132	3.2	8.4	7.0	0.1	298.15	
R00134	-13.1	6.5	7.0	0.1	298.15	
R00137	1.6	5.8	7.0	0.1	298.15	
R00138	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00139	2.7	2.5	7.0	0.1	298.15	
R00140	-0.2	2.5	7.0	0.1	298.15	
R00141	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00143	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00145	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00146	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00148	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00149	-0.0	7.9	7.0	0.1	298.15	
R00150	26.4	7.8	7.0	0.1	298.15	
R00152	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00153	-132.2	7.2	7.0	0.1	298.15	
R00155	-21.2	6.3	7.0	0.1	298.15	
R00156	-2.3	2.5	7.0	0.1	298.15	
R00157	-0.2	2.5	7.0	0.1	298.15	
R00158	-5.1	6.3	7.0	0.1	298.15	
R00159	-24.1	2.5	7.0	0.1	298.15	
R00160	-23.2	9.4	7.0	0.1	298.15	
R00161	-11.3	9.4	7.0	0.1	298.15	
R00162	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00164	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00165	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00166	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00167	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00168	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00169	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00170	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00172	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00173	-12.4	8.0	7.0	0.1	298.15	
R00174	-14.0	8.0	7.0	0.1	298.15	
R00175	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00177	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00178	-22.3	6.1	7.0	0.1	298.15	
R00179	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00180	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00181	-31.6	3.8	7.0	0.1	298.15	
R00182	-17.7	3.0	7.0	0.1	298.15	
R00183	-14.2	2.8	7.0	0.1	298.15	
R00184	-33.3	18.3	7.0	0.1	298.15	
R00185	-12.2	2.8	7.0	0.1	298.15	
R00187	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00188	-10.8	6.0	7.0	0.1	298.15	
R00189	-16.3	12.9	7.0	0.1	298.15	
R00190	17.2	2.6	7.0	0.1	298.15	
R00191	-41.5	2.2	7.0	0.1	298.15	
R00192	34.7	5.8	7.0	0.1	298.15	
R00193	-23.6	9.5	7.0	0.1	298.15	
R00194	-14.9	8.8	7.0	0.1	298.15	
R00195	-5.5	7.1	7.0	0.1	298.15	
R00196	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00197	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00198	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00199	3.8	1.0	7.0	0.1	298.15	
R00200	27.7	0.8	7.0	0.1	298.15	
R00203	-29.1	4.1	7.0	0.1	298.15	
R00205	-28.1	4.1	7.0	0.1	298.15	
R00206	19.6	1.0	7.0	0.1	298.15	
R00207	-158.9	10.4	7.0	0.1	298.15	
R00208	-54.1	1.1	7.0	0.1	298.15	
R00209	-35.3	6.4	7.0	0.1	298.15	
R00210	-34.3	6.4	7.0	0.1	298.15	
R00211	-168.7	10.3	7.0	0.1	298.15	
R00212	21.2	3.0	7.0	0.1	298.15	
R00213	nan	nan	7.0	0.1	298.15	uncertainty is too high
R00214	13.0	6.2	7.0	0.1	298.15	
R00215	22.3	10.3	7.0	0.1	298.15	
R00216	14.0	6.2	7.0	0.1	298.15	
