!!SBtab DocumentName=' TableType='Reaction' TableName=' Document=' Unit=' SBtabVersion='1.0' Date='2018-10-17' pH='5.0' ionic_strength='0.1' pMg='14.0'
!Identifiers:kegg.reaction	!dG'0 (kJ/mol):Mean	!dG'0 (kJ/mol):Std	!pH	!ionic strength (M)	!temperature (K)	!Comment
R00002	-708.5	47.4	5.0	0.1	298.15	
R00004	-14.8	0.4	5.0	0.1	298.15	
R00005	-112.6	15.1	5.0	0.1	298.15	
R00006	43.7	7.4	5.0	0.1	298.15	
R00008	16.3	4.6	5.0	0.1	298.15	
R00009	-193.1	13.3	5.0	0.1	298.15	
R00010	-11.7	2.1	5.0	0.1	298.15	
R00011	nan	nan	5.0	0.1	298.15	uncertainty is too high
R00012	nan	nan	5.0	0.1	298.15	uncertainty is too high
R00013	-31.1	8.8	5.0	0.1	298.15	
R00014	-40.8	6.8	5.0	0.1	298.15	
R00015	-6.1	10.7	5.0	0.1	298.15	
R00016	1.6	5.2	5.0	0.1	298.15	
R00017	nan	nan	5.0	0.1	298.15	uncertainty is too high
R00018	-0.8	8.0	5.0	0.1	298.15	
R00019	-4.9	13.0	5.0	0.1	298.15	
R00021	89.2	11.8	5.0	0.1	298.15	
R00022	-14.7	10.8	5.0	0.1	298.15	
R00023	nan	nan	5.0	0.1	298.15	uncertainty is too high
R00024	-7.8	7.5	5.0	0.1	298.15	
R00025	nan	nan	5.0	0.1	298.15	uncertainty is too high
R00026	-12.9	3.7	5.0	0.1	298.15	
R00027	7.8	10.2	5.0	0.1	298.15	
R00028	-14.6	3.1	5.0	0.1	298.15	
R00029	nan	nan	5.0	0.1	298.15	uncertainty is too high
R00031	-519.3	19.4	5.0	0.1	298.15	
R00032	-364.5	45.1	5.0	0.1	298.15	
R00033	-110.3	8.4	5.0	0.1	298.15	
R00034	nan	nan	5.0	0.1	298.15	uncertainty is too high
R00036	-99.0	7.9	5.0	0.1	298.15	
R00038	-10.0	2.3	5.0	0.1	298.15	
R00039	1.0	13.3	5.0	0.1	298.15	
R00041	nan	nan	5.0	0.1	298.15	uncertainty is too high
R00042	-670.9	22.1	5.0	0.1	298.15	
R00043	-367.4	6.5	5.0	0.1	298.15	
R00044	-478.7	9.0	5.0	0.1	298.15	
R00045	-381.6	24.0	5.0	0.1	298.15	
R00047	nan	nan	5.0	0.1	298.15	uncertainty is too high
R00048	-38.4	9.7	5.0	0.1	298.15	
R00049	-8.1	2.9	5.0	0.1	298.15	
R00052	nan	nan	5.0	0.1	298.15	uncertainty is too high
R00053	-46.0	6.1	5.0	0.1	298.15	
R00054	-45.8	6.1	5.0	0.1	298.15	
R00055	-424.0	14.3	5.0	0.1	298.15	
R00056	nan	nan	5.0	0.1	298.15	uncertainty is too high
R00057	nan	nan	5.0	0.1	298.15	uncertainty is too high
R00058	-270.5	33.9	5.0	0.1	298.15	
R00059	13.1	3.3	5.0	0.1	298.15	
R00060	nan	nan	5.0	0.1	298.15	uncertainty is too high
R00061	nan	nan	5.0	0.1	298.15	uncertainty is too high
R00062	0.2	0.0	5.0	0.1	298.15	
R00063	-6.5	27.8	5.0	0.1	298.15	
R00066	-173.8	44.1	5.0	0.1	298.15	
R00067	75.9	5.8	5.0	0.1	298.15	
R00068	nan	nan	5.0	0.1	298.15	uncertainty is too high
R00069	161.4	12.9	5.0	0.1	298.15	
R00070	-700.3	43.9	5.0	0.1	298.15	
R00072	-156.7	8.5	5.0	0.1	298.15	
R00073	nan	nan	5.0	0.1	298.15	uncertainty is too high
R00074	nan	nan	5.0	0.1	298.15	uncertainty is too high
R00075	nan	nan	5.0	0.1	298.15	uncertainty is too high
R00076	nan	nan	5.0	0.1	298.15	uncertainty is too high
R00077	nan	nan	5.0	0.1	298.15	uncertainty is too high
R00078	-92.5	33.5	5.0	0.1	298.15	
R00080	nan	nan	5.0	0.1	298.15	uncertainty is too high
R00081	nan	nan	5.0	0.1	298.15	uncertainty is too high
R00082	nan	nan	5.0	0.1	298.15	uncertainty is too high
R00083	nan	nan	5.0	0.1	298.15	uncertainty is too high
R00084	-127.5	16.2	5.0	0.1	298.15	
R00085	-40.8	1.2	5.0	0.1	298.15	
R00086	-24.1	0.6	5.0	0.1	298.15	
R00087	-25.9	1.1	5.0	0.1	298.15	
R00088	-68.7	7.0	5.0	0.1	298.15	
