!!SBtab DocumentName=' TableType='Reaction' TableName=' Document=' Unit=' SBtabVersion='1.0' Date='2018-10-17' pH='8.0' ionic_strength='0.1' pMg='14.0'
!Identifiers:kegg.reaction	!dG'0 (kJ/mol):Mean	!dG'0 (kJ/mol):Std	!pH	!ionic strength (M)	!temperature (K)	!Comment
R00002	-821.1	47.4	8.0	0.1	298.15	
R00004	-16.5	0.4	8.0	0.1	298.15	
R00005	-62.0	15.1	8.0	0.1	298.15	
R00006	26.5	7.4	8.0	0.1	298.15	
R00008	16.3	4.6	8.0	0.1	298.15	
R00009	-193.1	13.3	8.0	0.1	298.15	
R00010	-11.7	2.1	8.0	0.1	298.15	
R00011	nan	nan	8.0	0.1	298.15	uncertainty is too high
R00012	nan	nan	8.0	0.1	298.15	uncertainty is too high
R00013	-13.9	8.8	8.0	0.1	298.15	
R00014	-23.8	6.8	8.0	0.1	298.15	
R00015	-6.1	10.7	8.0	0.1	298.15	
R00016	-1.4	5.2	8.0	0.1	298.15	
R00017	nan	nan	8.0	0.1	298.15	uncertainty is too high
R00018	-1.1	8.0	8.0	0.1	298.15	
R00019	29.4	13.0	8.0	0.1	298.15	
R00021	54.8	11.8	8.0	0.1	298.15	
R00022	-13.8	10.8	8.0	0.1	298.15	
R00023	nan	nan	8.0	0.1	298.15	uncertainty is too high
R00024	-39.6	7.5	8.0	0.1	298.15	
R00025	nan	nan	8.0	0.1	298.15	uncertainty is too high
R00026	-12.9	3.7	8.0	0.1	298.15	
R00027	7.8	10.2	8.0	0.1	298.15	
R00028	-14.6	3.1	8.0	0.1	298.15	
R00029	nan	nan	8.0	0.1	298.15	uncertainty is too high
R00031	-519.4	19.4	8.0	0.1	298.15	
R00032	-364.5	45.1	8.0	0.1	298.15	
R00033	-110.4	8.4	8.0	0.1	298.15	
R00034	nan	nan	8.0	0.1	298.15	uncertainty is too high
R00036	-110.8	7.9	8.0	0.1	298.15	
R00038	-10.0	2.3	8.0	0.1	298.15	
R00039	1.0	13.3	8.0	0.1	298.15	
R00041	nan	nan	8.0	0.1	298.15	uncertainty is too high
R00042	-670.7	22.1	8.0	0.1	298.15	
R00043	-373.6	6.5	8.0	0.1	298.15	
R00044	-478.5	9.0	8.0	0.1	298.15	
R00045	-381.5	24.0	8.0	0.1	298.15	
R00047	nan	nan	8.0	0.1	298.15	uncertainty is too high
R00048	-55.0	9.7	8.0	0.1	298.15	
R00049	-8.5	2.9	8.0	0.1	298.15	
R00052	nan	nan	8.0	0.1	298.15	uncertainty is too high
R00053	-60.5	6.1	8.0	0.1	298.15	
R00054	-61.9	6.1	8.0	0.1	298.15	
R00055	-424.0	14.3	8.0	0.1	298.15	
R00056	nan	nan	8.0	0.1	298.15	uncertainty is too high
R00057	nan	nan	8.0	0.1	298.15	uncertainty is too high
R00058	-270.2	33.9	8.0	0.1	298.15	
R00059	2.2	3.3	8.0	0.1	298.15	
R00060	nan	nan	8.0	0.1	298.15	uncertainty is too high
R00061	nan	nan	8.0	0.1	298.15	uncertainty is too high
R00062	0.0	0.0	8.0	0.1	298.15	
R00063	-6.5	27.8	8.0	0.1	298.15	
R00066	-157.0	44.1	8.0	0.1	298.15	
R00067	110.1	5.8	8.0	0.1	298.15	
R00068	nan	nan	8.0	0.1	298.15	uncertainty is too high
R00069	161.3	12.9	8.0	0.1	298.15	
R00070	-660.1	43.9	8.0	0.1	298.15	
R00072	-174.8	8.5	8.0	0.1	298.15	
R00073	nan	nan	8.0	0.1	298.15	uncertainty is too high
R00074	nan	nan	8.0	0.1	298.15	uncertainty is too high
R00075	nan	nan	8.0	0.1	298.15	uncertainty is too high
R00076	nan	nan	8.0	0.1	298.15	uncertainty is too high
R00077	nan	nan	8.0	0.1	298.15	uncertainty is too high
R00078	-24.1	33.5	8.0	0.1	298.15	
R00080	nan	nan	8.0	0.1	298.15	uncertainty is too high
