!!SBtab DocumentName=' TableType='Reaction' TableName=' Document=' Unit=' SBtabVersion='1.0' Date='2018-10-17' pH='9.0' ionic_strength='0.1' pMg='14.0'
!Identifiers:kegg.reaction	!dG'0 (kJ/mol):Mean	!dG'0 (kJ/mol):Std	!pH	!ionic strength (M)	!temperature (K)	!Comment
R00002	-910.4	47.4	9.0	0.1	298.15	
R00004	-16.6	0.4	9.0	0.1	298.15	
R00005	-48.5	15.1	9.0	0.1	298.15	
R00006	20.8	7.4	9.0	0.1	298.15	
R00008	16.3	4.6	9.0	0.1	298.15	
R00009	-193.0	13.3	9.0	0.1	298.15	
R00010	-11.7	2.1	9.0	0.1	298.15	
R00011	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00012	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00013	-8.2	8.8	9.0	0.1	298.15	
R00014	-18.1	6.8	9.0	0.1	298.15	
R00015	-6.1	10.7	9.0	0.1	298.15	
R00016	-1.4	5.2	9.0	0.1	298.15	
R00017	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00018	-2.7	8.0	9.0	0.1	298.15	
R00019	40.8	13.0	9.0	0.1	298.15	
R00021	45.0	11.8	9.0	0.1	298.15	
R00022	-13.7	10.8	9.0	0.1	298.15	
R00023	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00024	-51.0	7.5	9.0	0.1	298.15	
R00025	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00026	-12.9	3.7	9.0	0.1	298.15	
R00027	7.8	10.2	9.0	0.1	298.15	
R00028	-14.6	3.1	9.0	0.1	298.15	
R00029	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00031	-520.5	19.4	9.0	0.1	298.15	
R00032	-364.5	45.1	9.0	0.1	298.15	
R00033	-111.2	8.4	9.0	0.1	298.15	
R00034	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00036	-109.3	7.9	9.0	0.1	298.15	
R00038	-10.0	2.3	9.0	0.1	298.15	
R00039	1.0	13.3	9.0	0.1	298.15	
R00041	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00042	-670.6	22.1	9.0	0.1	298.15	
R00043	-382.8	6.5	9.0	0.1	298.15	
R00044	-477.4	9.0	9.0	0.1	298.15	
R00045	-380.2	24.0	9.0	0.1	298.15	
R00047	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00048	-60.7	9.7	9.0	0.1	298.15	
R00049	-9.1	2.9	9.0	0.1	298.15	
R00052	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00053	-63.6	6.1	9.0	0.1	298.15	
R00054	-64.9	6.1	9.0	0.1	298.15	
R00055	-424.0	14.3	9.0	0.1	298.15	
R00056	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00057	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00058	-267.8	33.9	9.0	0.1	298.15	
R00059	1.8	3.3	9.0	0.1	298.15	
R00060	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00061	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00062	0.0	0.0	9.0	0.1	298.15	
R00063	-6.8	27.8	9.0	0.1	298.15	
R00066	-151.3	44.1	9.0	0.1	298.15	
R00067	121.5	5.8	9.0	0.1	298.15	
R00068	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00069	161.3	12.9	9.0	0.1	298.15	
R00070	-648.7	43.9	9.0	0.1	298.15	
R00072	-179.8	8.5	9.0	0.1	298.15	
R00073	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00074	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00075	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00076	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00077	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00078	-1.3	33.5	9.0	0.1	298.15	
R00080	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00081	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00082	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00083	nan	nan	9.0	0.1	298.15	uncertainty is too high
R00084	-124.3	16.2	9.0	0.1	298.15	
R00085	-72.2	1.2	9.0	0.1	298.15	
R00086	-36.7	0.6	9.0	0.1	298.15	
R00087	-55.6	1.1	9.0	0.1	298.15	
