!!SBtab DocumentName=' TableType='Reaction' TableName=' Document=' Unit=' SBtabVersion='1.0' Date='2018-10-17' pH='6.5' ionic_strength='0.1' pMg='14.0'
!Identifiers:kegg.reaction	!dG'0 (kJ/mol):Mean	!dG'0 (kJ/mol):Std	!pH	!ionic strength (M)	!temperature (K)	!Comment
R00002	-722.2	47.4	6.5	0.1	298.15	
R00004	-15.3	0.4	6.5	0.1	298.15	
R00005	-87.0	15.1	6.5	0.1	298.15	
R00006	35.1	7.4	6.5	0.1	298.15	
R00008	16.3	4.6	6.5	0.1	298.15	
R00009	-193.1	13.3	6.5	0.1	298.15	
R00010	-11.7	2.1	6.5	0.1	298.15	
R00011	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00012	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00013	-22.5	8.8	6.5	0.1	298.15	
R00014	-32.3	6.8	6.5	0.1	298.15	
R00015	-6.1	10.7	6.5	0.1	298.15	
R00016	-0.9	5.2	6.5	0.1	298.15	
R00017	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00018	-0.8	8.0	6.5	0.1	298.15	
R00019	12.3	13.0	6.5	0.1	298.15	
R00021	71.7	11.8	6.5	0.1	298.15	
R00022	-14.0	10.8	6.5	0.1	298.15	
R00023	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00024	-23.0	7.5	6.5	0.1	298.15	
R00025	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00026	-12.9	3.7	6.5	0.1	298.15	
R00027	7.8	10.2	6.5	0.1	298.15	
R00028	-14.6	3.1	6.5	0.1	298.15	
R00029	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00031	-519.3	19.4	6.5	0.1	298.15	
R00032	-364.5	45.1	6.5	0.1	298.15	
R00033	-110.3	8.4	6.5	0.1	298.15	
R00034	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00036	-107.3	7.9	6.5	0.1	298.15	
R00038	-10.0	2.3	6.5	0.1	298.15	
R00039	1.0	13.3	6.5	0.1	298.15	
R00041	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00042	-670.7	22.1	6.5	0.1	298.15	
R00043	-367.8	6.5	6.5	0.1	298.15	
R00044	-478.7	9.0	6.5	0.1	298.15	
R00045	-381.6	24.0	6.5	0.1	298.15	
R00047	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00048	-46.5	9.7	6.5	0.1	298.15	
R00049	-8.1	2.9	6.5	0.1	298.15	
R00052	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00053	-54.2	6.1	6.5	0.1	298.15	
R00054	-54.3	6.1	6.5	0.1	298.15	
R00055	-424.0	14.3	6.5	0.1	298.15	
R00056	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00057	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00058	-270.5	33.9	6.5	0.1	298.15	
R00059	5.2	3.3	6.5	0.1	298.15	
R00060	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00061	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00062	0.0	0.0	6.5	0.1	298.15	
R00063	-6.5	27.8	6.5	0.1	298.15	
R00066	-165.6	44.1	6.5	0.1	298.15	
R00067	93.0	5.8	6.5	0.1	298.15	
R00068	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00069	161.3	12.9	6.5	0.1	298.15	
R00070	-675.9	43.9	6.5	0.1	298.15	
R00072	-165.8	8.5	6.5	0.1	298.15	
R00073	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00074	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00075	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00076	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00077	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00078	-58.3	33.5	6.5	0.1	298.15	
R00080	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00081	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00082	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00083	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00084	-128.8	16.2	6.5	0.1	298.15	
R00085	-45.9	1.2	6.5	0.1	298.15	
R00086	-25.0	0.6	6.5	0.1	298.15	
R00087	-30.6	1.1	6.5	0.1	298.15	
R00088	-60.6	7.0	6.5	0.1	298.15	
R00089	8.3	2.0	6.5	0.1	298.15	
R00090	-329.4	6.4	6.5	0.1	298.15	
R00091	-3.3	29.7	6.5	0.1	298.15	
R00092	203.7	16.4	6.5	0.1	298.15	
R00093	52.2	1.8	6.5	0.1	298.15	
R00094	19.4	1.7	6.5	0.1	298.15	
R00095	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00097	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00099	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00100	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00101	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00102	-31.4	8.7	6.5	0.1	298.15	
R00103	-31.8	5.9	6.5	0.1	298.15	
R00104	-9.4	5.8	6.5	0.1	298.15	
R00105	-8.4	5.8	6.5	0.1	298.15	
R00106	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00107	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00108	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00109	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00111	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00112	-1.0	0.7	6.5	0.1	298.15	
R00113	-330.4	6.5	6.5	0.1	298.15	
R00114	53.2	1.9	6.5	0.1	298.15	
R00115	20.4	1.6	6.5	0.1	298.15	
R00118	-15.6	5.8	6.5	0.1	298.15	
R00119	-29.0	9.3	6.5	0.1	298.15	
R00120	-116.9	8.4	6.5	0.1	298.15	
R00122	-20.9	0.6	6.5	0.1	298.15	
R00123	-64.4	7.6	6.5	0.1	298.15	
R00125	-33.1	18.3	6.5	0.1	298.15	
R00126	8.1	18.3	6.5	0.1	298.15	
R00127	-4.1	0.3	6.5	0.1	298.15	
R00128	-30.9	5.8	6.5	0.1	298.15	
R00129	-53.8	13.5	6.5	0.1	298.15	
R00130	6.5	5.8	6.5	0.1	298.15	
R00131	-35.6	9.0	6.5	0.1	298.15	
R00132	0.3	8.4	6.5	0.1	298.15	
R00134	-13.1	6.5	6.5	0.1	298.15	
R00137	1.2	5.8	6.5	0.1	298.15	
R00138	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00139	2.7	2.5	6.5	0.1	298.15	
R00140	1.3	2.5	6.5	0.1	298.15	
R00141	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00143	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00145	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00146	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00148	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00149	8.0	7.9	6.5	0.1	298.15	
R00150	32.9	7.8	6.5	0.1	298.15	
R00152	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00153	-143.5	7.2	6.5	0.1	298.15	
R00155	-18.6	6.3	6.5	0.1	298.15	
R00156	-1.9	2.5	6.5	0.1	298.15	
R00157	-2.1	2.5	6.5	0.1	298.15	
R00158	-6.3	6.3	6.5	0.1	298.15	
R00159	-23.0	2.5	6.5	0.1	298.15	
R00160	-21.2	9.4	6.5	0.1	298.15	
R00161	-9.4	9.4	6.5	0.1	298.15	
R00162	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00164	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00165	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00166	nan	nan	6.5	0.1	298.15	uncertainty is too high
R00167	nan	nan	6.5	0.1	298.15	uncertainty is too high
