!!SBtab DocumentName=' TableType='Reaction' TableName=' Document=' Unit=' SBtabVersion='1.0' Date='2018-10-17' pH='6.0' ionic_strength='0.1' pMg='14.0'
!Identifiers:kegg.reaction	!dG'0 (kJ/mol):Mean	!dG'0 (kJ/mol):Std	!pH	!ionic strength (M)	!temperature (K)	!Comment
R00002	-711.0	47.4	6.0	0.1	298.15	
R00004	-15.0	0.4	6.0	0.1	298.15	
R00005	-95.6	15.1	6.0	0.1	298.15	
R00006	38.0	7.4	6.0	0.1	298.15	
R00008	16.3	4.6	6.0	0.1	298.15	
R00009	-193.1	13.3	6.0	0.1	298.15	
R00010	-11.7	2.1	6.0	0.1	298.15	
R00011	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00012	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00013	-25.3	8.8	6.0	0.1	298.15	
R00014	-35.2	6.8	6.0	0.1	298.15	
R00015	-6.1	10.7	6.0	0.1	298.15	
R00016	-0.1	5.2	6.0	0.1	298.15	
R00017	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00018	-0.8	8.0	6.0	0.1	298.15	
R00019	6.5	13.0	6.0	0.1	298.15	
R00021	77.4	11.8	6.0	0.1	298.15	
R00022	-14.3	10.8	6.0	0.1	298.15	
R00023	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00024	-17.9	7.5	6.0	0.1	298.15	
R00025	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00026	-12.9	3.7	6.0	0.1	298.15	
R00027	7.8	10.2	6.0	0.1	298.15	
R00028	-14.6	3.1	6.0	0.1	298.15	
R00029	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00031	-519.3	19.4	6.0	0.1	298.15	
R00032	-364.5	45.1	6.0	0.1	298.15	
R00033	-110.3	8.4	6.0	0.1	298.15	
R00034	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00036	-104.7	7.9	6.0	0.1	298.15	
R00038	-10.0	2.3	6.0	0.1	298.15	
R00039	1.0	13.3	6.0	0.1	298.15	
R00041	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00042	-670.7	22.1	6.0	0.1	298.15	
R00043	-367.5	6.5	6.0	0.1	298.15	
R00044	-478.7	9.0	6.0	0.1	298.15	
R00045	-381.6	24.0	6.0	0.1	298.15	
R00047	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00048	-43.7	9.7	6.0	0.1	298.15	
R00049	-8.1	2.9	6.0	0.1	298.15	
R00052	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00053	-51.5	6.1	6.0	0.1	298.15	
R00054	-51.5	6.1	6.0	0.1	298.15	
R00055	-424.0	14.3	6.0	0.1	298.15	
R00056	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00057	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00058	-270.5	33.9	6.0	0.1	298.15	
R00059	7.5	3.3	6.0	0.1	298.15	
R00060	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00061	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00062	0.1	0.0	6.0	0.1	298.15	
R00063	-6.5	27.8	6.0	0.1	298.15	
R00066	-168.4	44.1	6.0	0.1	298.15	
R00067	87.3	5.8	6.0	0.1	298.15	
R00068	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00069	161.3	12.9	6.0	0.1	298.15	
R00070	-681.2	43.9	6.0	0.1	298.15	
R00072	-162.7	8.5	6.0	0.1	298.15	
R00073	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00074	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00075	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00076	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00077	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00078	-69.7	33.5	6.0	0.1	298.15	
R00080	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00081	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00082	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00083	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00084	-128.7	16.2	6.0	0.1	298.15	
R00085	-42.8	1.2	6.0	0.1	298.15	
R00086	-24.2	0.6	6.0	0.1	298.15	
R00087	-27.8	1.1	6.0	0.1	298.15	
R00088	-63.5	7.0	6.0	0.1	298.15	
R00089	9.0	2.0	6.0	0.1	298.15	
R00090	-332.2	6.4	6.0	0.1	298.15	
R00091	0.4	29.7	6.0	0.1	298.15	
R00092	200.9	16.4	6.0	0.1	298.15	
R00093	55.1	1.8	6.0	0.1	298.15	
R00094	22.8	1.7	6.0	0.1	298.15	
R00095	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00097	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00099	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00100	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00101	nan	nan	6.0	0.1	298.15	uncertainty is too high
R00102	-28.7	8.7	6.0	0.1	298.15	
