!!SBtab DocumentName=' TableType='Reaction' TableName=' Document=' Unit=' SBtabVersion='1.0' Date='2018-10-17' pH='7.5' ionic_strength='0.1' pMg='14.0'
!Identifiers:kegg.reaction	!dG'0 (kJ/mol):Mean	!dG'0 (kJ/mol):Std	!pH	!ionic strength (M)	!temperature (K)	!Comment
R00002	-779.8	47.4	7.5	0.1	298.15	
R00004	-16.2	0.4	7.5	0.1	298.15	
R00005	-70.1	15.1	7.5	0.1	298.15	
R00006	29.4	7.4	7.5	0.1	298.15	
R00008	16.3	4.6	7.5	0.1	298.15	
R00009	-193.1	13.3	7.5	0.1	298.15	
R00010	-11.7	2.1	7.5	0.1	298.15	
R00011	nan	nan	7.5	0.1	298.15	uncertainty is too high
R00012	nan	nan	7.5	0.1	298.15	uncertainty is too high
R00013	-16.8	8.8	7.5	0.1	298.15	
R00014	-26.6	6.8	7.5	0.1	298.15	
R00015	-6.1	10.7	7.5	0.1	298.15	
R00016	-1.3	5.2	7.5	0.1	298.15	
R00017	nan	nan	7.5	0.1	298.15	uncertainty is too high
R00018	-0.9	8.0	7.5	0.1	298.15	
R00019	23.7	13.0	7.5	0.1	298.15	
R00021	60.3	11.8	7.5	0.1	298.15	
R00022	-13.8	10.8	7.5	0.1	298.15	
R00023	nan	nan	7.5	0.1	298.15	uncertainty is too high
R00024	-34.0	7.5	7.5	0.1	298.15	
R00025	nan	nan	7.5	0.1	298.15	uncertainty is too high
R00026	-12.9	3.7	7.5	0.1	298.15	
R00027	7.8	10.2	7.5	0.1	298.15	
R00028	-14.6	3.1	7.5	0.1	298.15	
R00029	nan	nan	7.5	0.1	298.15	uncertainty is too high
R00031	-519.3	19.4	7.5	0.1	298.15	
R00032	-364.5	45.1	7.5	0.1	298.15	
R00033	-110.4	8.4	7.5	0.1	298.15	
R00034	nan	nan	7.5	0.1	298.15	uncertainty is too high
R00036	-110.8	7.9	7.5	0.1	298.15	
R00038	-10.0	2.3	7.5	0.1	298.15	
R00039	1.0	13.3	7.5	0.1	298.15	
R00041	nan	nan	7.5	0.1	298.15	uncertainty is too high
R00042	-670.7	22.1	7.5	0.1	298.15	
R00043	-370.3	6.5	7.5	0.1	298.15	
R00044	-478.6	9.0	7.5	0.1	298.15	
R00045	-381.6	24.0	7.5	0.1	298.15	
R00047	nan	nan	7.5	0.1	298.15	uncertainty is too high
R00048	-52.2	9.7	7.5	0.1	298.15	
R00049	-8.2	2.9	7.5	0.1	298.15	
R00052	nan	nan	7.5	0.1	298.15	uncertainty is too high
R00053	-58.9	6.1	7.5	0.1	298.15	
R00054	-59.7	6.1	7.5	0.1	298.15	
R00055	-424.0	14.3	7.5	0.1	298.15	
R00056	nan	nan	7.5	0.1	298.15	uncertainty is too high
R00057	nan	nan	7.5	0.1	298.15	uncertainty is too high
R00058	-270.4	33.9	7.5	0.1	298.15	
R00059	2.6	3.3	7.5	0.1	298.15	
R00060	nan	nan	7.5	0.1	298.15	uncertainty is too high
R00061	nan	nan	7.5	0.1	298.15	uncertainty is too high
R00062	0.0	0.0	7.5	0.1	298.15	
R00063	-6.5	27.8	7.5	0.1	298.15	
R00066	-159.9	44.1	7.5	0.1	298.15	
R00067	104.4	5.8	7.5	0.1	298.15	
R00068	nan	nan	7.5	0.1	298.15	uncertainty is too high
R00069	161.3	12.9	7.5	0.1	298.15	
R00070	-665.7	43.9	7.5	0.1	298.15	
R00072	-171.9	8.5	7.5	0.1	298.15	
R00073	nan	nan	7.5	0.1	298.15	uncertainty is too high
R00074	nan	nan	7.5	0.1	298.15	uncertainty is too high
R00075	nan	nan	7.5	0.1	298.15	uncertainty is too high
R00076	nan	nan	7.5	0.1	298.15	uncertainty is too high
R00077	nan	nan	7.5	0.1	298.15	uncertainty is too high
R00078	-35.5	33.5	7.5	0.1	298.15	
R00080	nan	nan	7.5	0.1	298.15	uncertainty is too high
R00081	nan	nan	7.5	0.1	298.15	uncertainty is too high
R00082	nan	nan	7.5	0.1	298.15	uncertainty is too high
R00083	nan	nan	7.5	0.1	298.15	uncertainty is too high
R00084	-128.5	16.2	7.5	0.1	298.15	
R00085	-55.4	1.2	7.5	0.1	298.15	
R00086	-28.5	0.6	7.5	0.1	298.15	
R00087	-39.2	1.1	7.5	0.1	298.15	
R00088	-55.0	7.0	7.5	0.1	298.15	
R00089	5.1	2.0	7.5	0.1	298.15	
R00090	-323.6	6.4	7.5	0.1	298.15	
R00091	-9.2	29.7	7.5	0.1	298.15	
R00092	209.4	16.4	7.5	0.1	298.15	
R00093	46.6	1.8	7.5	0.1	298.15	
R00094	13.6	1.7	7.5	0.1	298.15	
